symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
DIS,260,2019-01-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
DIS,280,2019-02-13,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Normal,False
DIS,300,2019-03-14,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,Upper,Chop,Stretched,False
DIS,320,2019-04-11,Mixed,50,45-69,broken;extended;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Upper,Trend,Extended,False
DIS,340,2019-05-10,Mixed,50,45-69,extended;midrange;severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Mid,Expansion,Severe,False
DIS,360,2019-06-10,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
DIS,380,2019-07-09,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
DIS,400,2019-08-06,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
DIS,420,2019-09-04,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Severe,False
DIS,440,2019-10-02,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,Lower,Range,Normal,False
DIS,460,2019-10-30,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,Lower,Chop,Normal,False
DIS,480,2019-11-27,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Upper,Chop,Severe,False
DIS,500,2019-12-27,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Weak,NearSupport,Chop,Severe,False
DIS,520,2020-01-28,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Normal,False
DIS,540,2020-02-26,Mixed,50,45-69,broken;extended;severe;agree3,Zone,2,capped by broken (<= 50),Range-bound,Broken,Lower,Expansion,Severe,False
DIS,560,2020-03-25,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
DIS,580,2020-04-23,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Severe,False
DIS,600,2020-05-21,Mixed,50,45-69,broken;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,Upper,Range,Stretched,False
DIS,620,2020-06-19,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Stretched,False
DIS,640,2020-07-20,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,Upper,Chop,Normal,False
DIS,660,2020-08-17,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Range-bound,Broken,NearSupport,Trend,Normal,False
DIS,680,2020-09-15,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Stretched,False
DIS,700,2020-10-13,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Stretched,False
DIS,720,2020-11-10,Mixed,50,45-69,broken;extended;severe;agree3,Zone,1,capped by broken (<= 50),Weak,Broken,Upper,Expansion,Severe,False
DIS,740,2020-12-09,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Upper,Chop,Severe,False
DIS,760,2021-01-08,Mixed,50,45-69,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Clean,Weak,NearResistance,Trend,Severe,False
DIS,780,2021-02-08,Mixed,50,45-69,severe;weakzone;agree3,Extension,3,capped by severe (<= 50),Clean,Weak,Upper,Trend,Severe,False
DIS,800,2021-03-09,Unclear,44,0-44,chop;severe;weakzone;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Weak,NearResistance,Chop,Severe,False
DIS,820,2021-04-07,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Fresh,Mid,Chop,Severe,False
DIS,840,2021-05-05,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Severe,False
DIS,860,2021-06-03,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,Mid,Range,Severe,False
DIS,880,2021-07-01,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Extended,False
DIS,900,2021-07-30,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Normal,False
DIS,920,2021-08-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,Mid,Chop,Normal,False
DIS,940,2021-09-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
DIS,960,2021-10-25,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Stretched,False
DIS,980,2021-11-22,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
DIS,1000,2021-12-21,Unclear,44,0-44,chop;severe,Chop/Regime,4,capped by chop (<= 44),Clean,Fresh,NearResistance,Chop,Severe,False
DIS,1020,2022-01-20,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Lower,Range,Severe,False
DIS,1040,2022-02-17,Mixed,50,45-69,broken;extended;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Extended,False
DIS,1060,2022-03-18,Unclear,40,0-44,broken;chop;contradictory;severe;agree3,Agreement,3,capped by contradictory (<= 40),Clean,Broken,Mid,Chop,Severe,False
DIS,1080,2022-04-18,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
DIS,1100,2022-05-16,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearResistance,Trend,Severe,False
DIS,1120,2022-06-14,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
DIS,1140,2022-07-14,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
DIS,1160,2022-08-11,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Extended,False
DIS,1180,2022-09-09,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Extended,False
DIS,1200,2022-10-07,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearSupport,Chop,Severe,False
DIS,1220,2022-11-04,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Severe,False
DIS,1240,2022-12-05,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Severe,False
DIS,1260,2023-01-04,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Severe,False
DIS,1280,2023-02-02,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Extended,False
DIS,1300,2023-03-03,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Normal,False
DIS,1320,2023-03-31,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Normal,False
DIS,1340,2023-05-01,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
DIS,1360,2023-05-30,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Severe,False
DIS,1380,2023-06-28,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
DIS,1400,2023-07-27,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Severe,False
DIS,1420,2023-08-24,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Mixed,Broken,Lower,Range,Severe,False
DIS,1440,2023-09-22,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Broken,Lower,Chop,Severe,False
DIS,1460,2023-10-20,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,Mid,Chop,Severe,False
DIS,1480,2023-11-17,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearResistance,Trend,Normal,False
DIS,1500,2023-12-18,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
