symbol,t,date,final_state,final_score,final_band,caps,weakest_lens,agreement_count,why_not_higher,trend,zone,location,regime,extension,false_high_self_flag
XOM,260,2019-01-15,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearSupport,Trend,Extended,False
XOM,280,2019-02-13,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearResistance,Range,Normal,False
XOM,300,2019-03-14,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,4,capped by chop (<= 44),Range-bound,Broken,NearResistance,Chop,Stretched,False
XOM,320,2019-04-11,Unclear,44,0-44,chop;extended;weakzone;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Weak,Upper,Chop,Extended,False
XOM,340,2019-05-10,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Weak,Broken,NearSupport,Trend,Normal,False
XOM,360,2019-06-10,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
XOM,380,2019-07-09,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
XOM,400,2019-08-06,Mixed,50,45-69,broken;severe;agree3,Zone,4,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Severe,False
XOM,420,2019-09-04,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,NearResistance,Chop,Extended,False
XOM,440,2019-10-02,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Severe,False
XOM,460,2019-10-30,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,Mid,Chop,Severe,False
XOM,480,2019-11-27,Unclear,44,0-44,broken;chop;extended;agree3,Chop/Regime,2,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Extended,False
XOM,500,2019-12-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Stretched,False
XOM,520,2020-01-28,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
XOM,540,2020-02-26,Mixed,50,45-69,broken;pricediscovery;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Below,Trend,Severe,False
XOM,560,2020-03-25,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Tested,Lower,Chop,Severe,False
XOM,580,2020-04-23,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Upper,Chop,Severe,False
XOM,600,2020-05-21,Unclear,44,0-44,chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Fresh,NearResistance,Chop,Severe,False
XOM,620,2020-06-19,Mixed,50,45-69,severe;agree3,Extension,4,capped by severe (<= 50),Weak,Fresh,NearResistance,Range,Severe,False
XOM,640,2020-07-20,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Mixed,Broken,Lower,Chop,Severe,False
XOM,660,2020-08-17,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,Mid,Chop,Severe,False
XOM,680,2020-09-15,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Lower,Trend,Severe,False
XOM,700,2020-10-13,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Clean,Broken,Lower,Chop,Severe,False
XOM,720,2020-11-10,Mixed,50,45-69,broken;agree3,Zone,4,capped by broken (<= 50),Mixed,Broken,NearSupport,Range,Stretched,False
XOM,740,2020-12-09,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Stretched,False
XOM,760,2021-01-08,Mixed,50,45-69,broken;severe;agree3,Zone,2,capped by broken (<= 50),Weak,Broken,Upper,Trend,Severe,False
XOM,780,2021-02-08,Mixed,50,45-69,severe;weakzone;agree3,Extension,4,capped by severe (<= 50),Clean,Weak,NearResistance,Trend,Severe,False
XOM,800,2021-03-09,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Clean,Broken,Upper,Trend,Severe,False
XOM,820,2021-04-07,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,2,capped by chop (<= 44),Mixed,Broken,NearSupport,Chop,Severe,False
XOM,840,2021-05-05,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Severe,False
XOM,860,2021-06-03,Mixed,50,45-69,broken;severe;agree3,Zone,3,capped by broken (<= 50),Mixed,Broken,NearResistance,Range,Severe,False
XOM,880,2021-07-01,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,3,capped by chop (<= 44),Clean,Broken,Mid,Chop,Severe,False
XOM,900,2021-07-30,Unclear,44,0-44,broken;chop;severe;agree3,Chop/Regime,1,capped by chop (<= 44),Weak,Broken,Lower,Chop,Severe,False
XOM,920,2021-08-27,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearResistance,Chop,Stretched,False
XOM,940,2021-09-27,Mixed,50,45-69,broken;extended;agree3,Zone,3,capped by broken (<= 50),Weak,Broken,NearSupport,Range,Extended,False
XOM,960,2021-10-25,Unclear,40,0-44,broken;contradictory;severe;agree3,Agreement,4,capped by contradictory (<= 40),Clean,Broken,NearSupport,Trend,Severe,False
XOM,980,2021-11-22,Mixed,50,45-69,broken;agree3,Zone,5,capped by broken (<= 50),Clean,Broken,NearSupport,Trend,Stretched,False
XOM,1000,2021-12-21,Unclear,44,0-44,broken;chop;agree3,Chop/Regime,3,capped by chop (<= 44),Weak,Broken,NearSupport,Chop,Normal,False
